Case Name,C1,C2,C3,C4
1,D29,D06,n/a,n/a
2,D06,D03,n/a,n/a
3,D33,D24,n/a,n/a
4,D21,D33,n/a,n/a
5,D29,D06,n/a,n/a
6,D23,D42,n/a,n/a
7,D46,D12,n/a,n/a
8,D25,D24,n/a,n/a
9,D33,D06,n/a,n/a
10,D07,D14,n/a,n/a
11,D07,D14,n/a,n/a
12,D33,D29,n/a,n/a
13,D06,D46,n/a,n/a
14,D29,D32,n/a,n/a
15,D05,D27,n/a,n/a
16,D46,D19,n/a,n/a
17,D13,D46,n/a,n/a
18,D09,D46,n/a,n/a
19,D21,D43,n/a,n/a
20,D02,D03,n/a,n/a
21,D02,D19,n/a,n/a
22,D02,D32,n/a,n/a
23,D02,D49,n/a,n/a
24,D03,D19,n/a,n/a
25,D03,D02,n/a,n/a
26,D03,D32,n/a,n/a
27,D03,D49,n/a,n/a
28,D18,D29,n/a,n/a
29,D18,D38,n/a,n/a
30,D18,D42,n/a,n/a
31,D18,D46,n/a,n/a
32,D19,D02,n/a,n/a
33,D19,D03,n/a,n/a
34,D19,D49,n/a,n/a
35,D32,D02,n/a,n/a
36,D32,D03,n/a,n/a
37,D32,D19,n/a,n/a
38,D32,D49,n/a,n/a
39,D42,D18,n/a,n/a
40,D42,D29,n/a,n/a
41,D42,D38,n/a,n/a
42,D42,D46,n/a,n/a
43,D46,D18,n/a,n/a
44,D46,D29,n/a,n/a
45,D46,D38,n/a,n/a
46,D46,D42,n/a,n/a
47,D49,D02,n/a,n/a
48,D49,D03,n/a,n/a
49,D49,D19,n/a,n/a
50,D49,D32,n/a,n/a
51,D02,D03,n/a,n/a
52,D02,D32,n/a,n/a
53,D02,D49,n/a,n/a
54,D03,D02,n/a,n/a
55,D03,D19,n/a,n/a
56,D03,D32,n/a,n/a
57,D03,D49,n/a,n/a
58,D19,D02,n/a,n/a
59,D19,D03,n/a,n/a
60,D19,D32,n/a,n/a
61,D19,D49,n/a,n/a
62,D32,D19,n/a,n/a
63,D32,D02,n/a,n/a
64,D49,D03,n/a,n/a
65,D49,D19,n/a,n/a
66,D49,D02,n/a,n/a
67,D49,D32,n/a,n/a
68,D48,D50,n/a,n/a
69,D48,D50,n/a,n/a
70,D50,D48,n/a,n/a
71,D50,D48,n/a,n/a
72,D02,D19,n/a,n/a
73,D03,D32,n/a,n/a
74,D18,D29,n/a,n/a
75,D18,D38,n/a,n/a
76,D18,D46,n/a,n/a
77,D19,D02,n/a,n/a
78,D19,D32,n/a,n/a
79,D19,D49,n/a,n/a
80,D29,D46,n/a,n/a
81,D32,D03,n/a,n/a
82,D32,D49,n/a,n/a
83,D38,D42,n/a,n/a
84,D42,D18,n/a,n/a
85,D46,D18,n/a,n/a
86,D49,D19,n/a,n/a
87,D02,D19,n/a,n/a
88,D03,D32,n/a,n/a
89,D18,D38,n/a,n/a
90,D18,D42,n/a,n/a
91,D18,D46,n/a,n/a
92,D19,D02,n/a,n/a
93,D19,D49,n/a,n/a
94,D29,D18,n/a,n/a
95,D29,D38,n/a,n/a
96,D29,D42,n/a,n/a
97,D29,D46,n/a,n/a
98,D32,D03,n/a,n/a
99,D49,D32,n/a,n/a
100,D18,D38,n/a,n/a
101,D18,D46,n/a,n/a
102,D38,D18,n/a,n/a
103,D38,D42,n/a,n/a
104,D42,D38,n/a,n/a
105,D46,D18,n/a,n/a
106,D18,D38,n/a,n/a
107,D18,D46,n/a,n/a
108,D18,D38,n/a,n/a
109,D38,D18,n/a,n/a
110,D18,D46,n/a,n/a
111,D46,D18,n/a,n/a
112,D18,D38,n/a,n/a
113,D18,D46,n/a,n/a
114,D18,D38,n/a,n/a
115,D38,D18,n/a,n/a
116,D18,D46,n/a,n/a
117,D46,D18,n/a,n/a
118,D31,D45,D42,n/a
119,D29,D43,D12,n/a
120,D12,D14,D46,n/a
121,D40,D10,D21,n/a
122,D43,D01,D22,n/a
123,D06,D19,D32,n/a
124,D13,D32,D02,n/a
125,D29,D19,D03,n/a
126,D06,D05,D03,n/a
127,D46,D05,D02,n/a
128,D02,D43,D06,n/a
129,D49,D02,D19,n/a
130,D19,D02,D49,n/a
131,D03,D32,D02,n/a
132,D43,D18,D29,n/a
133,D33,D05,D19,n/a
134,D12,D85,D42,n/a
135,D12,D85,D42,n/a
136,D09,D43,D18,n/a
137,D43,D18,D23,n/a
138,D21,D13,D23,n/a
139,D43,D18,D29,n/a
140,D61,D62,D63,n/a
141,D61,D62,D63,n/a
142,D61,D62,D63,n/a
143,D61,D62,D63,n/a
144,D61,D62,n/a,n/a
145,D61,D62,D63,n/a
146,D61,D62,D63,n/a
147,D61,D63,n/a,n/a
148,D61,D63,n/a,n/a
149,D61,D62,D63,n/a
150,D61,D62,D63,n/a
151,D61,D62,D63,n/a
152,D61,D62,D63,n/a
153,D61,D62,D63,n/a
154,D61,D62,D63,n/a
155,D61,D62,D63,n/a
156,D61,D62,D63,n/a
157,D61,D62,D63,n/a
158,D61,D62,n/a,n/a
159,D72,D73,D70,n/a
160,D67,D69,D66,n/a
161,D80,D69,D65,n/a
162,D36,D29,n/a,n/a
163,D36,D29,n/a,n/a
164,D36,D29,n/a,n/a
165,D29,D36,n/a,n/a
166,D29,D36,n/a,n/a
167,D29,D36,n/a,n/a
168,D36,D29,n/a,n/a
169,D36,D29,n/a,n/a
170,D36,D29,n/a,n/a
171,D36,D29,n/a,n/a
172,D36,D29,n/a,n/a
173,D29,D36,n/a,n/a
174,D29,D36,n/a,n/a
175,D36,D42,n/a,n/a
176,D36,D38,n/a,n/a
177,D36,D46,n/a,n/a
178,D36,D46,n/a,n/a
179,D29,D18,n/a,n/a
180,D29,D18,n/a,n/a
181,D29,D18,n/a,n/a
182,D29,D42,n/a,n/a
183,D29,D42,n/a,n/a
184,D29,D42,n/a,n/a
185,D29,D38,n/a,n/a
186,D29,D38,n/a,n/a
187,D29,D38,n/a,n/a
188,D29,D46,n/a,n/a
189,D29,D46,n/a,n/a
190,D29,D46,n/a,n/a
191,D29,D18,n/a,n/a
192,D29,D38,n/a,n/a
193,D36,D18,n/a,n/a
194,D36,D18,n/a,n/a
195,D36,D42,n/a,n/a
196,D36,D42,n/a,n/a
197,D36,D38,n/a,n/a
198,D36,D38,n/a,n/a
199,D29,D38,n/a,n/a
200,D29,D38,n/a,n/a
201,D29,D38,n/a,n/a
202,D29,D46,n/a,n/a
203,D29,D46,n/a,n/a
204,D29,D18,n/a,n/a
205,D29,D18,n/a,n/a
206,D29,D18,n/a,n/a
207,D29,D42,n/a,n/a
208,D29,D42,n/a,n/a
209,D29,D42,n/a,n/a
210,D36,D18,n/a,n/a
211,D36,D42,n/a,n/a
212,D36,D42,n/a,n/a
213,D36,D38,n/a,n/a
214,D36,D46,n/a,n/a
215,D29,D18,n/a,n/a
216,D29,D42,n/a,n/a
217,D29,D38,n/a,n/a
218,D36,D18,n/a,n/a
219,D36,D18,n/a,n/a
220,D36,D42,n/a,n/a
221,D36,D42,n/a,n/a
222,D36,D46,n/a,n/a
223,D36,D46,n/a,n/a
224,D36,D42,n/a,n/a
225,D36,D18,n/a,n/a
226,D36,D42,n/a,n/a
227,D36,D38,n/a,n/a
228,D36,D46,n/a,n/a
229,D29,D18,n/a,n/a
230,D29,D42,n/a,n/a
231,D29,D38,n/a,n/a
232,D29,D46,n/a,n/a
233,D36,D18,n/a,n/a
234,D36,D18,n/a,n/a
235,D36,D42,n/a,n/a
236,D36,D42,n/a,n/a
