Case,C1 LR,C2 LR,C3 LR,C4 LR
1,5.43E-06,3.88E+09,n/a,n/a
2,8.31E-15,1.30E+11,n/a,n/a
3,3.11E+11,5.02E-06,n/a,n/a
4,2.09E+05,1.51E+13,n/a,n/a
5,1.27E+03,1.77E+11,n/a,n/a
6,5.39E+00,6.96E+09,n/a,n/a
7,2.75E+05,1.09E+09,n/a,n/a
8,1.86E+07,1.21E+10,n/a,n/a
9,1.64E-17,3.38E-26,n/a,n/a
10,4.54E-19,2.06E+12,n/a,n/a
11,8.00E-02,3.79E+10,n/a,n/a
12,1.20E-01,2.78E-11,n/a,n/a
13,7.13E+08,3.52E+04,n/a,n/a
14,4.31E-15,6.57E+07,n/a,n/a
15,2.28E-07,4.49E+13,n/a,n/a
16,1.00E-02,9.52E+09,n/a,n/a
17,1.39E-09,8.43E+06,n/a,n/a
18,5.21E-12,2.24E+10,n/a,n/a
19,1.15E+05,1.31E+11,n/a,n/a
20,3.30E+05,2.97E+04,n/a,n/a
21,1.79E+03,2.37E+04,n/a,n/a
22,4.81E+06,7.71E+04,n/a,n/a
23,1.54E+08,6.82E+07,n/a,n/a
24,9.86E+08,4.96E+03,n/a,n/a
25,7.60E+09,1.04E+02,n/a,n/a
26,5.71E+06,1.42E+03,n/a,n/a
27,7.02E+08,1.72E+04,n/a,n/a
28,2.53E+09,5.98E+08,n/a,n/a
29,4.31E+10,2.90E-01,n/a,n/a
30,6.68E+11,1.38E+03,n/a,n/a
31,1.34E+11,2.33E+03,n/a,n/a
32,9.02E+07,4.69E+02,n/a,n/a
33,2.98E+12,2.06E+02,n/a,n/a
34,4.79E+08,6.12E+02,n/a,n/a
35,1.77E+06,4.04E+00,n/a,n/a
36,1.31E+10,1.47E+02,n/a,n/a
37,2.68E+09,9.57E+02,n/a,n/a
38,9.91E+05,3.36E+07,n/a,n/a
39,1.07E+08,8.13E+08,n/a,n/a
40,1.99E+07,7.73E+07,n/a,n/a
41,3.50E+08,7.80E+04,n/a,n/a
42,3.00E+08,5.00E-02,n/a,n/a
43,2.73E+10,8.04E+07,n/a,n/a
44,1.60E+09,6.94E-09,n/a,n/a
45,3.67E+09,9.80E+04,n/a,n/a
46,1.37E+10,5.79E+02,n/a,n/a
47,6.43E-10,2.75E+07,n/a,n/a
48,1.82E+10,6.53E+02,n/a,n/a
49,4.79E-18,2.24E+13,n/a,n/a
50,1.80E-25,6.68E+11,n/a,n/a
51,6.61E+08,1.13E+04,n/a,n/a
52,2.26E+07,1.06E+02,n/a,n/a
53,2.08E+07,6.78E+08,n/a,n/a
54,2.27E+09,8.12E+07,n/a,n/a
55,3.05E+09,7.86E+07,n/a,n/a
56,9.13E+09,2.30E+02,n/a,n/a
57,2.28E+08,9.51E+05,n/a,n/a
58,1.99E+11,2.84E+06,n/a,n/a
59,8.15E+11,3.86E+06,n/a,n/a
60,1.23E+12,9.92E+07,n/a,n/a
61,5.75E+10,2.72E+09,n/a,n/a
62,8.26E+10,1.66E+09,n/a,n/a
63,1.07E+08,6.67E+04,n/a,n/a
64,1.29E+11,1.65E+07,n/a,n/a
65,5.02E+10,6.40E+06,n/a,n/a
66,1.02E+12,7.72E+04,n/a,n/a
67,2.28E+10,8.56E+02,n/a,n/a
68,1.17E+09,3.10E+09,n/a,n/a
69,5.14E+10,1.45E+09,n/a,n/a
70,2.48E+09,1.30E+10,n/a,n/a
71,4.34E+07,1.22E+10,n/a,n/a
72,7.66E+05,3.59E+09,n/a,n/a
73,5.02E+07,6.34E+08,n/a,n/a
74,2.62E+11,1.51E+10,n/a,n/a
75,1.03E+10,4.56E+05,n/a,n/a
76,1.77E+10,4.06E+09,n/a,n/a
77,4.55E+08,1.09E+07,n/a,n/a
78,2.06E+11,3.81E+08,n/a,n/a
79,4.72E+10,1.64E+10,n/a,n/a
80,2.32E+10,2.83E+09,n/a,n/a
81,2.39E+10,7.17E+04,n/a,n/a
82,1.42E+08,3.30E+08,n/a,n/a
83,4.35E+07,3.86E+08,n/a,n/a
84,7.93E+08,2.58E+11,n/a,n/a
85,1.62E+11,1.65E+10,n/a,n/a
86,1.94E+11,2.73E+09,n/a,n/a
87,2.37E+07,2.20E+10,n/a,n/a
88,6.41E+07,8.52E+08,n/a,n/a
89,1.45E+10,1.10E+07,n/a,n/a
90,5.02E+11,2.39E+09,n/a,n/a
91,6.38E+10,5.22E+10,n/a,n/a
92,1.02E+11,2.30E+06,n/a,n/a
93,9.39E+10,2.86E+10,n/a,n/a
94,1.28E+11,5.12E+11,n/a,n/a
95,2.22E+10,5.19E+07,n/a,n/a
96,1.46E+10,1.63E+07,n/a,n/a
97,2.17E+10,9.24E+09,n/a,n/a
98,3.29E+09,1.32E+05,n/a,n/a
99,1.18E+11,7.70E+07,n/a,n/a
100,1.02E+10,1.81E+07,n/a,n/a
101,4.77E+10,3.56E+10,n/a,n/a
102,1.26E+07,1.17E+10,n/a,n/a
103,2.03E+08,1.23E+09,n/a,n/a
104,1.41E+09,1.56E+08,n/a,n/a
105,3.56E+10,4.77E+10,n/a,n/a
106,2.70E+04,4.89E+07,n/a,n/a
107,1.50E+10,1.02E+10,n/a,n/a
108,8.73E+04,1.11E-03,n/a,n/a
109,2.05E+04,2.94E+05,n/a,n/a
110,2.03E+07,3.29E+04,n/a,n/a
111,9.66E+06,2.50E+09,n/a,n/a
112,2.86E+05,1.78E+02,n/a,n/a
113,4.45E+07,2.26E+02,n/a,n/a
114,6.01E+11,1.01E+01,n/a,n/a
115,2.80E+09,3.44E-11,n/a,n/a
116,7.12E+07,6.47E-05,n/a,n/a
117,5.24E+09,3.46E+00,n/a,n/a
118,7.37E-21,4.80E+10,1.23E-10,n/a
119,1.39E-26,2.56E+04,9.30E+06,n/a
120,1.15E-06,2.70E-11,1.02E+12,n/a
121,2.87E-14,3.08E-05,6.19E+04,n/a
122,5.41E+11,4.30E-26,1.19E-24,n/a
123,5.31E-19,1.92E+02,1.95E+06,n/a
124,3.25E-14,3.61E-08,1.92E+06,n/a
125,1.13E-08,5.76E-03,2.20E+03,n/a
126,1.29E-30,9.85E+00,1.23E+10,n/a
127,1.05E-12,1.22E+03,7.17E+03,n/a
128,1.54E-06,5.52E-13,5.62E+11,n/a
129,6.14E-41,5.88E+02,4.40E+09,n/a
130,3.22E-10,2.66E+05,1.66E+06,n/a
131,8.99E-31,9.09E+04,9.29E+05,n/a
132,3.26E-03,8.88E+07,3.91E-11,n/a
133,4.00E-02,7.87E+09,9.64E-18,n/a
134,6.58E-03,1.33E+10,6.69E-04,n/a
135,1.69E-05,5.62E+05,1.08E+08,n/a
136,3.25E-13,8.12E-03,5.03E+12,n/a
137,4.22E+08,4.06E+03,5.88E-04,n/a
138,5.35E+05,1.43E-04,2.35E-03,n/a
139,1.48E-10,9.05E+11,2.89E-23,n/a
140,3.94E+02,9.34E+00,4.06E+04,n/a
141,8.68E+06,5.74E+04,3.47E-15,n/a
142,1.49E+08,7.79E+04,9.60E-08,n/a
143,1.47E+05,2.26E+09,5.80E-19,n/a
144,8.88E+05,6.91E-11,n/a,n/a
145,1.90E+08,6.26E+07,8.36E-23,n/a
146,4.20E+05,3.54E-08,5.86E+05,n/a
147,2.34E+04,2.06E+11,n/a,n/a
148,3.94E+02,1.37E+04,n/a,n/a
149,8.32E+07,2.00E-02,2.57E+05,n/a
150,7.40E+03,1.71E-05,5.57E-06,n/a
151,1.59E+03,1.83E+08,4.32E-05,n/a
152,4.71E+01,4.97E+02,9.00E-02,n/a
153,5.71E+03,3.02E+07,4.41E-11,n/a
154,7.60E-09,1.08E+07,2.05E+01,n/a
155,7.25E+01,1.60E-01,1.17E+04,n/a
156,8.94E+07,6.86E+07,4.03E-13,n/a
157,2.19E-09,2.35E+08,2.62E+04,n/a
158,1.31E+07,1.70E-19,n/a,n/a
159,2.03E+02,5.17E+00,1.50E+06,n/a
160,1.25E+05,6.37E+09,2.30E+11,n/a
161,3.61E+07,1.44E-05,8.95E+07,n/a
162,4.85E+10,3.81E+02,n/a,n/a
163,4.36E+02,6.54E+08,n/a,n/a
164,3.60E+08,1.67E+08,n/a,n/a
165,1.78E+07,2.24E-09,n/a,n/a
166,9.30E+09,2.04E+02,n/a,n/a
167,1.70E+09,6.72E-10,n/a,n/a
168,4.54E+09,8.59E+03,n/a,n/a
169,1.51E+07,6.54E+03,n/a,n/a
170,1.45E+10,9.22E+04,n/a,n/a
171,1.06E+11,5.00E+00,n/a,n/a
172,2.45E+10,5.31E+03,n/a,n/a
173,3.75E+11,7.20E+01,n/a,n/a
174,1.82E+15,5.40E-05,n/a,n/a
175,7.00E-02,3.50E+07,n/a,n/a
176,8.00E-02,7.29E+04,n/a,n/a
177,1.58E-08,3.57E+08,n/a,n/a
178,1.56E-14,6.89E+10,n/a,n/a
179,2.31E+08,1.70E+05,n/a,n/a
180,7.11E+06,9.17E+07,n/a,n/a
181,9.94E-07,1.10E+08,n/a,n/a
182,2.08E+06,4.00E-02,n/a,n/a
183,4.50E-01,5.56E+06,n/a,n/a
184,1.30E-07,4.11E+03,n/a,n/a
185,5.32E+07,1.11E+01,n/a,n/a
186,5.00E-02,3.91E+04,n/a,n/a
187,3.91E-07,2.58E+03,n/a,n/a
188,8.62E+09,2.51E+01,n/a,n/a
189,1.69E+01,2.86E+10,n/a,n/a
190,7.57E-04,1.02E+07,n/a,n/a
191,2.61E+06,2.58E+11,n/a,n/a
192,1.56E+06,4.41E+03,n/a,n/a
193,7.65E-12,8.46E+10,n/a,n/a
194,3.69E-07,5.00E+11,n/a,n/a
195,6.32E-21,4.83E+08,n/a,n/a
196,9.88E+01,1.14E+07,n/a,n/a
197,2.00E-02,1.22E+10,n/a,n/a
198,4.00E-02,3.46E+06,n/a,n/a
199,2.48E+07,4.63E+07,n/a,n/a
200,7.47E+07,2.53E+08,n/a,n/a
201,1.59E-03,6.73E+05,n/a,n/a
202,8.48E+08,1.71E+04,n/a,n/a
203,5.98E-05,8.37E+08,n/a,n/a
204,8.54E+12,3.59E+08,n/a,n/a
205,6.70E+03,1.90E+13,n/a,n/a
206,3.57E+00,1.26E+12,n/a,n/a
207,8.99E+08,8.02E+05,n/a,n/a
208,4.27E+08,1.48E+07,n/a,n/a
209,2.40E-04,1.37E+07,n/a,n/a
210,9.60E+08,1.26E+05,n/a,n/a
211,6.50E+06,2.30E+08,n/a,n/a
212,5.23E+07,2.15E+09,n/a,n/a
213,3.67E+10,3.05E+07,n/a,n/a
214,7.90E+07,6.64E+10,n/a,n/a
215,2.89E+09,2.60E+10,n/a,n/a
216,3.30E+10,7.70E+05,n/a,n/a
217,4.12E+07,1.66E+08,n/a,n/a
218,3.65E+07,1.05E+12,n/a,n/a
219,6.19E-07,9.60E+11,n/a,n/a
220,1.07E+01,8.46E+10,n/a,n/a
221,7.00E-02,1.37E+10,n/a,n/a
222,2.42E+05,1.62E+12,n/a,n/a
223,5.40E+00,1.52E+11,n/a,n/a
224,9.53E+03,7.13E+08,n/a,n/a
225,3.38E+10,9.21E+07,n/a,n/a
226,7.85E+10,2.77E+08,n/a,n/a
227,5.83E+10,2.41E+06,n/a,n/a
228,3.86E+10,2.44E+10,n/a,n/a
229,4.94E+11,9.35E+09,n/a,n/a
