Case,,FST Column,FST LR,,reQBT Race,reQBT LR
2,,C1,8.31e-15,,CAUCASIAN,8.31001e-15
3,,C1,3.11e+11,,ASIAN,3.08462e+11
5,,C1,1270.0,,ASIAN,1258.89
6,,C1,5.39,,CAUCASIAN,5.39024
10,,C1,4.54e-19,,CAUCASIAN,4.53567e-19
13,,C1,713000000.0,,HISPANIC,712944000.0
15,,C1,2.28e-07,,CAUCASIAN,2.28373e-07
20,,C1,330000.0,,BLACK,335698.0
20,,C1,330000.0,,HISPANIC,329799.0
21,,C1,1790.0,,HISPANIC,1792.9
24,,C1,986000000.0,,CAUCASIAN,985521000.0
25,,C1,7600000000.0,,CAUCASIAN,7603920000.0
28,,C1,2530000000.0,,HISPANIC,2534060000.0
29,,C1,43100000000.0,,HISPANIC,43137500000.0
30,,C1,6.68e+11,,HISPANIC,6.67673e+11
31,,C1,1.34e+11,,HISPANIC,1.33626e+11
34,,C1,479000000.0,,HISPANIC,478952000.0
35,,C1,1770000.0,,HISPANIC,1771500.0
36,,C1,13100000000.0,,CAUCASIAN,13089300000.0
37,,C1,2680000000.0,,HISPANIC,2675980000.0
38,,C1,991000.0,,CAUCASIAN,990659.0
41,,C1,350000000.0,,CAUCASIAN,349888000.0
42,,C1,300000000.0,,CAUCASIAN,299547000.0
43,,C1,27300000000.0,,BLACK,27346600000.0
44,,C1,1600000000.0,,BLACK,1604110000.0
48,,C1,18200000000.0,,ASIAN,17981300000.0
51,,C1,661000000.0,,HISPANIC,661072000.0
52,,C1,22600000.0,,HISPANIC,22621900.0
53,,C1,20800000.0,,HISPANIC,20839300.0
54,,C1,2270000000.0,,CAUCASIAN,2268160000.0
55,,C1,3050000000.0,,CAUCASIAN,3051610000.0
57,,C1,228000000.0,,CAUCASIAN,228476000.0
60,,C1,1.23e+12,,HISPANIC,1.22501e+12
61,,C1,57500000000.0,,HISPANIC,57457400000.0
62,,C1,82600000000.0,,HISPANIC,82612900000.0
63,,C1,107000000.0,,HISPANIC,107128000.0
64,,C1,1.29e+11,,ASIAN,1.27988e+11
65,,C1,50200000000.0,,ASIAN,49646400000.0
66,,C1,1.02e+12,,ASIAN,1.01164e+12
67,,C1,22800000000.0,,ASIAN,22503200000.0
73,,C1,50200000.0,,CAUCASIAN,50150100.0
74,,C1,2.62e+11,,HISPANIC,2.61848e+11
75,,C1,10300000000.0,,HISPANIC,10278900000.0
76,,C1,17700000000.0,,HISPANIC,17692400000.0
77,,C1,455000000.0,,HISPANIC,455273000.0
78,,C1,2.06e+11,,HISPANIC,2.06296e+11
79,,C1,47200000000.0,,HISPANIC,47217800000.0
80,,C1,23200000000.0,,ASIAN,23062100000.0
81,,C1,23900000000.0,,CAUCASIAN,23930700000.0
82,,C1,142000000.0,,HISPANIC,142412000.0
83,,C1,43500000.0,,HISPANIC,43539700.0
84,,C1,793000000.0,,CAUCASIAN,793263000.0
85,,C1,1.62e+11,,BLACK,1.62019e+11
86,,C1,1.94e+11,,ASIAN,1.91718e+11
87,,C1,23700000.0,,HISPANIC,23738100.0
88,,C1,64100000.0,,CAUCASIAN,64773700.0
91,,C1,63800000000.0,,HISPANIC,63759200000.0
92,,C1,1.02e+11,,HISPANIC,1.01505e+11
93,,C1,93900000000.0,,HISPANIC,93916800000.0
94,,C1,1.28e+11,,ASIAN,1.26872e+11
95,,C1,22200000000.0,,CAUCASIAN,22237900000.0
95,,C1,22200000000.0,,ASIAN,22309000000.0
96,,C1,14600000000.0,,CAUCASIAN,14642600000.0
97,,C1,21700000000.0,,ASIAN,21572400000.0
98,,C1,3290000000.0,,HISPANIC,3266770000.0
99,,C1,1.18e+11,,ASIAN,1.16482e+11
