Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
1_,D8,ASIAN,,8.5,0.00609948,0.000717586,,25.102,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D8,BLACK,,57.9244,0.0186449,0.000321884,,25.423,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D8,HISPANIC,,11.0456,0.00692856,0.000627271,,25.282,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D8,CAUCASIAN,,12.5015,0.00980257,0.000784113,,25.386,,0.49,0.412,0.098,0.97,0.03,,0.49,0.412,0.098,0.97,0.03
1_,D21,BLACK,,2.40344,0.00499156,0.00207684,,29.227,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D21,CAUCASIAN,,4.25258,0.00496176,0.00116677,,28.259,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D21,ASIAN,,2.21171,0.00780327,0.00352816,,21.807,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D21,HISPANIC,,5.27038,0.00499782,0.000948283,,25.874,,0.436,0.434,0.13,0.892,0.108,,0.436,0.434,0.13,0.892,0.108
1_,D7,BLACK,,4.25625,0.00241593,0.000567619,,26.579,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,D7,CAUCASIAN,,3.01234,0.00177802,0.000590245,,23.105,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,D7,HISPANIC,,3.15065,0.00158943,0.000504476,,44.715,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,D7,ASIAN,,2.06057,0.000705425,0.000342345,,39.687,,0.452,0.35,0.198,0.82,0.18,,0.452,0.35,0.198,0.82,0.18
1_,CSF,BLACK,,2.1098,0.0310864,0.0147343,,18.109,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
1_,CSF,CAUCASIAN,,2.35007,0.0296982,0.0126372,,17.879,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
1_,CSF,HISPANIC,,2.00378,0.0343705,0.0171528,,27.712,,0.458,0.434,0.108,0.812,0.188,,0.458,0.434,0.108,0.812,0.188
