Case Name,Locus,Race,,LR,Pn,Pd,,Time (seconds),,Pn HET0,Pn HET1,Pn HET2,Pn HOM0,Pn HOM1,,Pd HET0,Pd HET1,Pd HET2,Pd HOM0,Pd HOM1
351_,D8,ASIAN,,2.39056,0.0780087,0.032632,,10.775,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D8,HISPANIC,,4.99977,0.112612,0.0225234,,10.795,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D8,CAUCASIAN,,3.52903,0.0900768,0.0255246,,10.862,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D8,BLACK,,5.60893,0.0931852,0.0166137,,10.999,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D21,BLACK,,7.8988,0.0108632,0.0013753,,3.624,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D21,HISPANIC,,5.16634,0.0251977,0.00487728,,3.597,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D21,CAUCASIAN,,4.14941,0.0403329,0.00972015,,3.621,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D21,ASIAN,,3.48256,0.0552471,0.0158639,,3.62,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D7,BLACK,,15.0599,0.0611055,0.0040575,,10.676,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D7,HISPANIC,,19.8868,0.0620691,0.00312112,,10.759,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D7,CAUCASIAN,,15.2455,0.0472221,0.00309745,,10.999,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D7,ASIAN,,22.0522,0.0317749,0.0014409,,10.996,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,CSF,BLACK,,2.90001,0.0868017,0.0299315,,3.631,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,CSF,HISPANIC,,2.60055,0.100243,0.0385467,,3.612,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,CSF,CAUCASIAN,,3.28667,0.0656186,0.0199651,,3.637,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,CSF,ASIAN,,2.80717,0.0752692,0.0268132,,3.624,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D3,BLACK,,6.63466,0.000337727,5.09034e-05,,10.507,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D3,HISPANIC,,4.9851,0.000325801,6.5355e-05,,10.491,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D3,ASIAN,,10.3072,0.000322024,3.12428e-05,,10.609,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D3,CAUCASIAN,,4.24703,0.000312415,7.35608e-05,,10.651,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TH01,BLACK,,7.50046,0.00147826,0.000197089,,10.651,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TH01,HISPANIC,,1.75759,0.00419345,0.00238591,,10.652,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TH01,ASIAN,,10.3429,0.00443081,0.000428393,,10.693,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,TH01,CAUCASIAN,,1.48497,0.00641609,0.00432067,,10.786,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D13,CAUCASIAN,,4.0314,0.000551265,0.000136743,,10.796,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
351_,D13,BLACK,,2.00034,0.00113341,0.000566609,,10.988,,0.93,0.05,0.02,0.98,0.02,,0.93,0.05,0.02,0.98,0.02
